model,epoch,total_loss,mlm_loss,perplexity,dfg_nsp_loss,cfg_nsp_loss,dfg_nsp_acc,cfg_nsp_acc
address_aware,0,14.507922021854526,12.092467534002497,178522.073568131,1.2523655473291486,1.1630889405228817,0.5053838965607803,0.44707870933066224
address_aware,1,12.552249608099254,10.539509680227916,37779.03810217925,1.0653527564873395,0.9473871713839992,0.4996579714039663,0.5116717258396497
address_aware,2,12.758712035021732,10.568934012845924,38907.17706001541,0.934077823697734,1.2557001984780738,0.4984608713178484,0.4189621264406428
address_aware,3,13.08559439954187,11.096802346580242,65959.90567111384,1.1587303680169017,0.830061684944726,0.48841988896285937,0.59472054431408
address_aware,4,13.748059980166133,10.843341548959682,51192.153583417006,1.772082165468178,1.132636265738274,0.4715688729546995,0.46989690280890983
address_aware,5,12.721403500538159,10.638755192715385,41720.80451957719,1.2655058875907041,0.8171424202320692,0.5286677986184488,0.6183632710149087
address_aware,6,12.837067010571538,10.468635107084358,35194.14832798246,1.0342252978610673,1.334206605626112,0.532730915109724,0.47842471400912484
address_aware,7,13.037522616420576,10.292982594927528,29524.703389264414,1.3463028024088393,1.3982372190842083,0.5106868667126777,0.40189886947333703
address_aware,8,12.989153007659837,10.76480897901194,47325.710019197446,1.1695374227062172,1.0548066059416807,0.49700266904457974,0.5498262372579079
address_aware,9,14.691849912114806,10.930147269230982,55834.5018061207,1.3855389602059254,2.3761636826778982,0.48391396759279054,0.2653653292941385
address_aware,10,13.615133693600345,10.778872185308396,47995.96314984284,1.5213276586202973,1.3149338496716532,0.5028690702319076,0.4478314776246114
address_aware,11,14.935129552648963,10.84056565343483,51050.24656403045,2.219902103264042,1.8746617959500924,0.5063489058138754,0.38065492368486953
address_aware,12,13.592359283712511,10.892328425525891,53762.33594042782,1.048901888458767,1.6511289697278542,0.5309749647283011,0.3664210372017175
address_aware,13,13.713036245658852,10.948296958568452,56857.1328137383,1.1696250805770834,1.5951142065133155,0.487949599643313,0.3185370337570009
address_aware,14,14.473011269106712,10.894581401623114,53883.597746915504,1.2447768432083481,2.33365302427525,0.5187566039003475,0.29187559931349977
address_aware,15,14.637749126598077,10.640897093797824,41810.26212640966,1.8180439375755812,2.1788080952246713,0.4493309065590091,0.3376921620482627
address_aware,16,13.057920984824138,10.716051396787794,45073.57334096405,1.6277562179284912,0.7141133701078526,0.5175595038142297,0.6846419998900622
address_aware,17,14.236602471552622,11.091868187546527,65635.25061519098,1.091005149787494,2.0537291342186004,0.5300359130025836,0.29021584447471127
address_aware,18,13.701615785868244,10.554572779921045,38352.415095410666,1.3742575215786876,1.7727854843685105,0.47815597725509834,0.30109968301278334
address_aware,19,14.098136431639553,10.903270736585624,54353.850509762386,1.8702405910250683,1.3246251040288604,0.4917210756799345,0.4880702257999499
vanilla,0,13.32285389783917,11.208406494204743,73747.80375789962,1.1987147449603228,0.9157326586741052,0.4553881719182307,0.45802209749036515
vanilla,1,12.36844262905339,10.221210387216598,27479.90769154601,1.1691535392571117,0.9780787025796809,0.5310406220034325,0.49961979856958755
vanilla,2,13.520553697720139,11.03394890428576,61941.70032332305,1.4030167893541712,1.0835880040802077,0.42800450744828344,0.47761392300691996
vanilla,3,14.129890079754695,11.261796409677249,77792.19701326583,1.1563194498719824,1.7117742202054629,0.5058664011873278,0.4308552547196892
vanilla,4,13.589956873065532,11.039041619565605,62257.95638452901,0.9489575734927971,1.6019576800071291,0.5359450677644156,0.5161058822810864
vanilla,5,14.820094745352193,11.042354145290842,62464.52941700474,2.6983680099610927,1.0793725901002593,0.44835368199891285,0.5396432519590298
vanilla,6,13.57181442897226,11.16700890444171,70757.15240374634,1.271401250651229,1.1334042738793213,0.45324285862614444,0.5209294016331866
vanilla,7,13.766046906688947,11.626875219345152,112069.5813407797,0.7776376814156517,1.3615340059281433,0.6811484220877181,0.5474915867073029
vanilla,8,13.698507443411362,11.395958646919409,88961.47118238233,0.8998422187082514,1.4027065777837018,0.6013015409609782,0.4626013107024412
vanilla,9,13.741836577966053,11.481810571679514,96936.41932356886,1.121696458456596,1.1383295478299431,0.6065922958058744,0.542710820929707
vanilla,10,13.78161140019769,11.279756405126543,79201.96634847231,1.2047940020318648,1.2970609930392816,0.454030745927722,0.49079423926121823
vanilla,11,14.688695640427055,11.51230795996548,99938.26856122288,1.519072352537687,1.6573153279238877,0.4300414098907341,0.42481173158084395
vanilla,12,13.871313128875467,11.43735646400349,92721.57495435548,0.8232523810720316,1.6107042837999468,0.667726853520146,0.43523596919299573
vanilla,13,15.138076862884265,11.55965837694816,104784.21056264584,1.542871017529854,2.0355474684062513,0.4009109565196147,0.4376469654123582
vanilla,14,15.02680673358697,11.590828121045206,108101.74230691638,1.02103931035491,2.414939302186854,0.5681888975074666,0.5184649634456938
vanilla,15,14.450763433472531,11.825557655292675,136701.8635864754,1.5992216981513254,1.0259840800285294,0.38545859316309267,0.539887558099054
vanilla,16,13.402845356424578,10.835929574203336,50814.12134670467,0.71998890576074,1.846926876460503,0.6639630120504003,0.53030464975661
vanilla,17,13.952493577658789,11.46817335456797,95623.4493039406,1.3234372556419618,1.160882967448856,0.46053234307911245,0.5362382351324445
vanilla,18,14.759090074609453,11.689453801179198,119306.82333113947,1.7162663963306735,1.3533698770995817,0.45262903944933397,0.49233031411661954
vanilla,19,14.147554897170217,11.489078014483447,97643.46530280175,1.0716772103028736,1.5867996723838975,0.49188598232445074,0.46097514795790606
